sentimento;palabra
alegria;adviento
positivo;adviento
confianza;adviento
anticipacion;aventuras
positivo;aventuras
positivo;aventurero
enfado;adversario
negativo;adversario
enfado;adverso
desagrado;adverso
miedo;adverso
negativo;adverso
tristeza;adverso
enfado;adversidad
miedo;adversidad
negativo;adversidad
tristeza;adversidad
confianza;Consejo
positivo;aconsejable
confianza;aconsejable
positivo;asesorar
confianza;asesorar
confianza;aconsejado
positivo;asesor
confianza;asesor
enfado;Abogacía
anticipacion;Abogacía
alegria;Abogacía
positivo;Abogacía
confianza;Abogacía
confianza;abogado
positivo;estético
alegria;estética
positivo;estética
positivo;afable
alegria;afecto
positivo;afecto
confianza;afecto
positivo;asociado
positivo;afirmar
confianza;afirmar
positivo;afirmación
positivo;afirmativo
positivo;afirmativamente
confianza;afirmativamente
miedo;afligir
negativo;afligir
tristeza;afligir
negativo;afligido
desagrado;aflicción
miedo;aflicción
negativo;aflicción
tristeza;aflicción
alegria;afluencia
positivo;afluencia
positivo;afluente
positivo;permitirse
enfado;afrenta
desagrado;afrenta
miedo;afrenta
negativo;afrenta
tristeza;afrenta
sorpresa;afrenta
miedo;temeroso
negativo;temeroso
enfado;secuelas
desagrado;secuelas
miedo;secuelas
negativo;secuelas
tristeza;secuelas
negativo;regusto
miedo;aga
positivo;aga
confianza;aga
enfado;agravado
negativo;agravado
enfado;agravante
negativo;agravante
tristeza;agravante
enfado;agravación
desagrado;agravación
negativo;agravación
enfado;agresión
miedo;agresión
negativo;agresión
enfado;agresivo
miedo;agresivo
negativo;agresivo
enfado;agresor
miedo;agresor
negativo;agresor
desagrado;espantado
miedo;espantado
negativo;espantado
sorpresa;espantado
positivo;ágil
positivo;agilidad
enfado;agitado
negativo;agitado
enfado;agitación
negativo;agitación
miedo;agonizante
negativo;agonizante
enfado;agonía
miedo;agonía
negativo;agonía
tristeza;agonía
positivo;de acuerdo
positivo;agradable
confianza;agradable
positivo;convenido
confianza;convenido
positivo;de acuerdo
confianza;de acuerdo
positivo;acuerdo
confianza;acuerdo
positivo;agricultura
negativo;encallado
positivo;adelante
positivo;ayuda
positivo;ayudando
negativo;afligir
tristeza;afligir
miedo;enfermo
negativo;enfermo
tristeza;enfermo
negativo;sin objetivo
anticipacion;aeropuerto
desagrado;aires
negativo;aires
confianza;parecido
positivo;alabastro
miedo;alarma
negativo;alarma
sorpresa;alarma
miedo;alarmante
negativo;alarmante
sorpresa;alarmante
confianza;alba
enfado;alcoholismo
desagrado;alcoholismo
miedo;alcoholismo
negativo;alcoholismo
tristeza;alcoholismo
anticipacion;vigilancia
miedo;vigilancia
positivo;vigilancia
sorpresa;vigilancia
anticipacion;alertas
miedo;alertas
sorpresa;alertas
desagrado;extraterrestre
miedo;extraterrestre
negativo;extraterrestre
enfado;enajenar
desagrado;enajenar
negativo;enajenar
negativo;enajenado
tristeza;enajenado
enfado;alienación
desagrado;alienación
miedo;alienación
negativo;alienación
tristeza;alienación
positivo;alimentación
negativo;pensión alimenticia
anticipacion;viva
alegria;viva
positivo;viva
confianza;viva
positivo;aliviar
enfado;alegación
negativo;alegación
negativo;alegar
positivo;lealtad
confianza;lealtad
positivo;alegro
positivo;aliviar
positivo;alivio
confianza;Alianza
positivo;aliado
confianza;aliado
positivo;admisible
anticipacion;seducir
alegria;seducir
positivo;seducir
sorpresa;seducir
positivo;seductor
positivo;aliado
confianza;aliado
positivo;todopoderoso
anticipacion;aloha
alegria;aloha
positivo;aloha
negativo;a distancia
enfado;altercado
negativo;altercado
sorpresa;asombro
alegria;Asombrosamente
positivo;Asombrosamente
sorpresa;Asombrosamente
positivo;embajador
confianza;embajador
negativo;ambiguo
anticipacion;ambición
alegria;ambición
positivo;ambición
confianza;ambición
miedo;ambulancia
confianza;ambulancia
enfado;emboscada
miedo;emboscada
negativo;emboscada
sorpresa;emboscada
positivo;mejorar
alegria;Amén
positivo;Amén
confianza;Amén
positivo;dócil
positivo;enmendar
positivo;compensación
positivo;amenidad
positivo;amable
alegria;amistoso
positivo;amistoso
desagrado;amoníaco
negativo;amnesia
alegria;amnistía
positivo;amnistía
confianza;amortización
anticipacion;aventura amorosa
alegria;aventura amorosa
positivo;aventura amorosa
confianza;aventura amorosa
desagrado;anfetaminas
negativo;anfetaminas
alegria;entretener
positivo;entretener
alegria;divertido
positivo;divertido
alegria;diversión
positivo;diversión
alegria;divertido
positivo;divertido
desagrado;anaconda
miedo;anaconda
negativo;anaconda
negativo;anal
anticipacion;analista
positivo;analista
confianza;analista
enfado;anarquismo
miedo;anarquismo
negativo;anarquismo
enfado;anarquista
miedo;anarquista
negativo;anarquista
enfado;anarquía
miedo;anarquía
negativo;anarquía
enfado;anatema
desagrado;anatema
miedo;anatema
negativo;anatema
tristeza;anatema
confianza;ancestral
positivo;ancla
positivo;anclaje
tristeza;anclaje
negativo;antiguo
anticipacion;ángel
alegria;ángel
positivo;ángel
sorpresa;ángel
confianza;ángel
alegria;angelical
positivo;angelical
confianza;angelical
enfado;enfado
negativo;enfado
miedo;angina de pecho
negativo;angina de pecho
anticipacion;pesca con caña
negativo;pesca con caña
enfado;enojado
desagrado;enojado
negativo;enojado
enfado;angustia
miedo;angustia
negativo;angustia
tristeza;angustia
positivo;animar
alegria;animado
positivo;animado
enfado;animosidad
desagrado;animosidad
miedo;animosidad
negativo;animosidad
tristeza;animosidad
enfado;ánimo
negativo;ánimo
enfado;aniquilar
miedo;aniquilar
negativo;aniquilar
enfado;aniquilado
miedo;aniquilado
negativo;aniquilado
tristeza;aniquilado
enfado;aniquilación
miedo;aniquilación
negativo;aniquilación
tristeza;aniquilación
anticipacion;anuncio
enfado;molestar
desagrado;molestar
negativo;molestar
enfado;molestia
desagrado;molestia
negativo;molestia
enfado;molesto
negativo;molesto
negativo;anular
negativo;anulación
tristeza;anulación
miedo;anomalía
negativo;anomalía
sorpresa;anomalía
negativo;anónimo
confianza;responsable
enfado;antagonismo
negativo;antagonismo
enfado;antagonista
negativo;antagonista
enfado;antagonista
desagrado;antagonista
negativo;antagonista
desagrado;ántrax
miedo;ántrax
negativo;ántrax
tristeza;ántrax
positivo;antibióticos
enfado;antecristo
desagrado;antecristo
miedo;antecristo
negativo;antecristo
anticipacion;anticipación
anticipacion;anticipado
anticipacion;antídoto
positivo;antídoto
confianza;antídoto
positivo;antifúngico
confianza;antifúngico
enfado;antipatía
desagrado;antipatía
negativo;antipatía
negativo;anticuado
positivo;antiguo
positivo;antiséptico
confianza;antiséptico
enfado;antisocial
desagrado;antisocial
miedo;antisocial
negativo;antisocial
tristeza;antisocial
enfado;antítesis
negativo;antítesis
enfado;ansiedad
anticipacion;ansiedad
miedo;ansiedad
negativo;ansiedad
tristeza;ansiedad
anticipacion;ansioso
miedo;ansioso
negativo;ansioso
miedo;apache
negativo;apache
negativo;apático
tristeza;apático
negativo;apatía
tristeza;apatía
desagrado;áfido
negativo;áfido
positivo;aplomo
positivo;apologético
confianza;apologético
positivo;pedir disculpas
tristeza;pedir disculpas
confianza;pedir disculpas
positivo;disculpa
positivo;apóstol
confianza;apóstol
confianza;apostólico
desagrado;pésimo
miedo;pésimo
negativo;pésimo
miedo;aparición
sorpresa;aparición
anticipacion;apelación
miedo;apendicitis
negativo;apendicitis
tristeza;apendicitis
alegria;aplausos
positivo;aplausos
sorpresa;aplausos
confianza;aplausos
anticipacion;solicitante
alegria;apreciación
positivo;apreciación
confianza;apreciación
miedo;aprehender
miedo;detención
negativo;detención
anticipacion;aprensivo
miedo;aprensivo
negativo;aprensivo
confianza;aprendiz
anticipacion;que se acerca
positivo;aprobación
confianza;aprobación
negativo;apropiación
positivo;aprobación
alegria;aprobar
positivo;aprobar
confianza;aprobar
positivo;aprobatorio
positivo;apto
positivo;aptitud
confianza;árbitro
anticipacion;arbitraje
confianza;árbitro
anticipacion;arqueología
positivo;arqueología
negativo;arcaico
confianza;arquitectura
anticipacion;ardiente
alegria;ardiente
positivo;ardiente
positivo;ardor
negativo;arduo
enfado;discutir
negativo;discutir
enfado;argumento
negativo;argumento
enfado;argumentación
negativo;discutidor
enfado;argumentos
negativo;árido
tristeza;árido
positivo;aristocracia
positivo;aristocrático
enfado;armamento
miedo;armamento
miedo;armamento
negativo;armamento
enfado;armado
miedo;armado
negativo;armado
positivo;armado
miedo;armadura
positivo;armadura
confianza;armadura
miedo;blindado
confianza;arsenal
positivo;aroma
anticipacion;despertar
positivo;despertar
enfado;acusación
miedo;acusación
negativo;acusación
tristeza;acusación
positivo;formación
negativo;atrasos
negativo;arrestar
anticipacion;llegada
anticipacion;llegar
negativo;arrogancia
enfado;arrogante
desagrado;arrogante
negativo;arrogante
desagrado;arsénico
miedo;arsénico
negativo;arsénico
tristeza;arsénico
enfado;incendio provocado
miedo;incendio provocado
negativo;incendio provocado
anticipacion;Arte
alegria;Arte
positivo;Arte
tristeza;Arte
sorpresa;Arte
positivo;articular
positivo;articulación
miedo;artillería
negativo;artillería
positivo;artesano
positivo;artista
positivo;artístico
positivo;ascendencia
positivo;ascenso
negativo;ceniza
desagrado;avergonzado
negativo;avergonzado
tristeza;avergonzado
negativo;despojos mortales
tristeza;despojos mortales
miedo;áspid
anticipacion;aspiración
alegria;aspiración
positivo;aspiración
sorpresa;aspiración
confianza;aspiración
anticipacion;aspirar
alegria;aspirar
positivo;aspirar
anticipacion;ambicioso
alegria;ambicioso
positivo;ambicioso
confianza;ambicioso
negativo;culo
enfado;atacar
miedo;atacar
negativo;atacar
sorpresa;atacar
enfado;agresor
miedo;agresor
negativo;agresor
tristeza;agresor
enfado;asesino
miedo;asesino
negativo;asesino
tristeza;asesino
enfado;asesinar
miedo;asesinar
negativo;asesinar
enfado;asesinato
miedo;asesinato
negativo;asesinato
tristeza;asesinato
enfado;asalto
miedo;asalto
negativo;asalto
positivo;montaje
confianza;montaje
positivo;asentir
positivo;afirmando
confianza;afirmando
sorpresa;evaluación
confianza;evaluación
confianza;asesor
positivo;bienes
enfado;Estúpido
desagrado;Estúpido
negativo;Estúpido
confianza;cesionario
positivo;ayudar
confianza;ayudar
positivo;asistencia
positivo;asociar
confianza;asociar
confianza;asociación
positivo;calmar
positivo;garantía
confianza;garantía
confianza;asegurar
positivo;seguro
confianza;seguro
confianza;ciertamente
positivo;asombrosamente
sorpresa;asombrosamente
alegria;asombro
positivo;asombro
sorpresa;asombro
miedo;por mal camino
negativo;por mal camino
negativo;astringente
anticipacion;astrólogo
positivo;astrólogo
positivo;astronauta
anticipacion;astrónomo
positivo;astrónomo
positivo;astuto
miedo;asilo
negativo;asilo
desagrado;asimetría
negativo;ateísmo
miedo;aterosclerosis
negativo;aterosclerosis
tristeza;aterosclerosis
positivo;atleta
positivo;atlético
positivo;átomo
anticipacion;expiar
alegria;expiar
positivo;expiar
confianza;expiar
positivo;expiación
enfado;atroz
desagrado;atroz
negativo;atroz
enfado;atrocidad
desagrado;atrocidad
miedo;atrocidad
negativo;atrocidad
tristeza;atrocidad
desagrado;atrofia
miedo;atrofia
negativo;atrofia
tristeza;atrofia
positivo;adjunto archivo
enfado;ataque
miedo;ataque
negativo;ataque
enfado;agresor
desagrado;agresor
miedo;agresor
negativo;agresor
tristeza;agresor
sorpresa;agresor
anticipacion;alcanzable
positivo;alcanzable
positivo;logro
anticipacion;intento
anticipacion;asistencia
positivo;asistente
confianza;asistente
positivo;atención
positivo;atento
confianza;atento
negativo;atenuado
negativo;atenuación
tristeza;atenuación
positivo;dar fe
confianza;dar fe
confianza;atestación
enfado;abogado
miedo;abogado
positivo;abogado
confianza;abogado
positivo;atracción
positivo;atractivo
anticipacion;subasta
negativo;audacia
anticipacion;audiencia
miedo;auditor
confianza;auditor
positivo;aumentar
positivo;agosto
positivo;tía
confianza;tía
positivo;aura
anticipacion;propicio
alegria;propicio
positivo;propicio
miedo;austero
negativo;austero
tristeza;austero
negativo;austeridad
alegria;auténtico
positivo;auténtico
confianza;auténtico
confianza;autenticar
confianza;autenticación
positivo;autenticidad
confianza;autenticidad
positivo;autor
confianza;autor
positivo;autoritario
confianza;autoritario
positivo;autoridad
confianza;autoridad
positivo;autorización
confianza;autorización
confianza;autorizar
positivo;autorizado
negativo;autocrático
confianza;automático
desagrado;autopsia
miedo;autopsia
negativo;autopsia
tristeza;autopsia
miedo;avalancha
negativo;avalancha
tristeza;avalancha
sorpresa;avalancha
enfado;avaricia
desagrado;avaricia
negativo;avaricia
positivo;avatar
enfado;vengador
negativo;vengador
enfado;contrario
desagrado;contrario
miedo;contrario
negativo;contrario
enfado;aversión
desagrado;aversión
miedo;aversión
negativo;aversión
miedo;evitar
negativo;evitar
miedo;evitación
negativo;evitación
miedo;evitando
anticipacion;esperar
anticipacion;premio
alegria;premio
positivo;premio
sorpresa;premio
confianza;premio
enfado;horrible
desagrado;horrible
miedo;horrible
negativo;horrible
tristeza;horrible
desagrado;torpeza
negativo;torpeza
negativo;torcido
confianza;axioma
confianza;axiomático
positivo;sí
positivo;sí
negativo;balbucear
negativo;balbuceo
desagrado;babuino
negativo;babuino
alegria;bebé
positivo;bebé
confianza;niñera
positivo;bachillerato
enfado;columna vertebral
positivo;columna vertebral
confianza;columna vertebral
confianza;partidario
negativo;hacia atrás
desagrado;hacia atrás
negativo;hacia atrás
negativo;remanso
tristeza;remanso
desagrado;bacterias
miedo;bacterias
negativo;bacterias
tristeza;bacterias
desagrado;bacteria
miedo;bacteria
negativo;bacteria
enfado;malo
desagrado;malo
miedo;malo
negativo;malo
tristeza;malo
confianza;Insignia
enfado;tejón
negativo;tejón
negativo;mal
tristeza;mal
enfado;maldad
desagrado;maldad
miedo;maldad
negativo;maldad
miedo;alguacil
negativo;alguacil
confianza;alguacil
miedo;cebo
negativo;cebo
confianza;cebo
positivo;equilibrar
positivo;equilibrado
miedo;bala
negativo;bala
negativo;obstáculo
positivo;balada
positivo;ballet
anticipacion;votación
positivo;votación
confianza;votación
anticipacion;bálsamo
alegria;bálsamo
negativo;bálsamo
positivo;bálsamo
positivo;bálsamo
negativo;prohibición
negativo;bandido
enfado;perdición
desagrado;perdición
miedo;perdición
negativo;perdición
enfado;explosión
desagrado;explosión
miedo;explosión
negativo;explosión
tristeza;explosión
sorpresa;explosión
enfado;petardo
anticipacion;petardo
miedo;petardo
negativo;petardo
sorpresa;petardo
enfado;desterrar
desagrado;desterrar
miedo;desterrar
negativo;desterrar
tristeza;desterrar
enfado;alejado
miedo;alejado
negativo;alejado
tristeza;alejado
enfado;destierro
desagrado;destierro
negativo;destierro
tristeza;destierro
confianza;banco
confianza;banquero
miedo;arruinado
negativo;arruinado
tristeza;arruinado
enfado;bancarrota
desagrado;bancarrota
miedo;bancarrota
negativo;bancarrota
tristeza;bancarrota
anticipacion;banquete
alegria;banquete
positivo;banquete
enfado;banshee
desagrado;banshee
miedo;banshee
negativo;banshee
tristeza;banshee
positivo;bautismo
alegria;bautismal
positivo;bautismal
enfado;lengüeta
negativo;lengüeta
miedo;bárbaro
negativo;bárbaro
enfado;bárbaro
desagrado;bárbaro
miedo;bárbaro
negativo;bárbaro
negativo;barbarie
positivo;bardo
desagrado;barf
positivo;negociar
confianza;negociar
enfado;ladrar
negativo;ladrar
negativo;prohibido
negativo;estéril
tristeza;estéril
miedo;barricada
negativo;barricada
enfado;barrera
negativo;barrera
desagrado;carretilla
confianza;barman
confianza;permuta
confianza;base
negativo;infundado
anticipacion;baloncesto
alegria;baloncesto
positivo;baloncesto
desagrado;Bastardo
negativo;Bastardo
tristeza;Bastardo
enfado;bastión
positivo;bastión
positivo;bañera
enfado;batallón
enfado;masa
miedo;masa
negativo;masa
miedo;abollado
negativo;abollado
tristeza;abollado
enfado;batería
negativo;batería
enfado;batalla
negativo;batalla
enfado;luchado
miedo;luchado
negativo;luchado
tristeza;luchado
miedo;campo de batalla
negativo;campo de batalla
negativo;obsceno
enfado;bayoneta
miedo;bayoneta
negativo;bayoneta
alegria;playa
alegria;haz
positivo;haz
anticipacion;radiante
alegria;radiante
positivo;radiante
enfado;oso
miedo;oso
negativo;portador
enfado;osuno
miedo;osuno
enfado;bestia
miedo;bestia
negativo;bestia
desagrado;bestial
miedo;bestial
negativo;bestial
enfado;golpeando
miedo;golpeando
negativo;golpeando
tristeza;golpeando
alegria;embellecimiento
positivo;embellecimiento
confianza;embellecimiento
alegria;hermoso
positivo;hermoso
alegria;embellecer
positivo;embellecer
alegria;belleza
positivo;belleza
positivo;base
confianza;base
enfado;abeja
miedo;abeja
alegria;cerveza
positivo;cerveza
negativo;acontecer
positivo;propio
alegria;ofrecer amistad
positivo;ofrecer amistad
confianza;ofrecer amistad
negativo;mendigar
tristeza;mendigar
negativo;mendigo
tristeza;mendigo
negativo;mendicidad
anticipacion;empezado
miedo;gigante
negativo;gigante
negativo;agradecido
negativo;tardío
confianza;creído
confianza;creyente
positivo;creyendo
confianza;creyendo
enfado;empequeñecer
desagrado;empequeñecer
miedo;empequeñecer
negativo;empequeñecer
tristeza;empequeñecer
enfado;beligerante
miedo;beligerante
negativo;beligerante
enfado;fuelle
enfado;cinturón
miedo;cinturón
negativo;cinturón
negativo;juerga
positivo;benefactor
confianza;benefactor
positivo;beneficioso
positivo;beneficio
alegria;benevolencia
positivo;benevolencia
confianza;benevolencia
alegria;benigno
positivo;benigno
confianza;legado
negativo;afligido
tristeza;afligido
negativo;duelo
tristeza;duelo
negativo;privado
enfado;enloquecido
negativo;enloquecido
positivo;atracar
desagrado;bestial
miedo;bestial
negativo;bestial
enfado;traicionar
desagrado;traicionar
negativo;traicionar
tristeza;traicionar
sorpresa;traicionar
enfado;traición
desagrado;traición
negativo;traición
tristeza;traición
anticipacion;prometido
alegria;prometido
positivo;prometido
confianza;prometido
positivo;mejoramiento
positivo;bebida
anticipacion;tener cuidado
miedo;tener cuidado
negativo;tener cuidado
miedo;desconcertado
negativo;desconcertado
sorpresa;desconcertado
miedo;desconcierto
sorpresa;desconcierto
enfado;parcialidad
negativo;parcialidad
negativo;parcial
positivo;bíblico
enfado;dimes y diretes
desagrado;dimes y diretes
negativo;dimes y diretes
anticipacion;bienal
miedo;féretro
negativo;féretro
tristeza;féretro
enfado;fanático
desagrado;fanático
miedo;fanático
negativo;fanático
enfado;fanático
desagrado;fanático
miedo;fanático
negativo;fanático
tristeza;fanático
enfado;bilis
desagrado;bilis
negativo;bilis
positivo;bilingüe
miedo;biopsia
negativo;biopsia
enfado;abedul
desagrado;abedul
miedo;abedul
negativo;abedul
anticipacion;nacimiento
miedo;nacimiento
alegria;nacimiento
positivo;nacimiento
confianza;nacimiento
anticipacion;cumpleaños
alegria;cumpleaños
positivo;cumpleaños
sorpresa;cumpleaños
enfado;lugar de nacimiento
negativo;lugar de nacimiento
enfado;perra
desagrado;perra
miedo;perra
negativo;perra
tristeza;perra
negativo;mordedura
enfado;amargamente
desagrado;amargamente
negativo;amargamente
tristeza;amargamente
enfado;amargura
desagrado;amargura
negativo;amargura
tristeza;amargura
negativo;extraño
sorpresa;extraño
negativo;negro
tristeza;negro
negativo;veintiuna
enfado;chantaje
miedo;chantaje
negativo;chantaje
miedo;negrura
negativo;negrura
tristeza;negrura
enfado;culpa
desagrado;culpa
negativo;culpa
positivo;inocente
negativo;amable
confianza;manta
enfado;blasfemo
desagrado;blasfemo
negativo;blasfemo
enfado;blasfemia
negativo;blasfemia
enfado;explosión
miedo;explosión
negativo;explosión
sorpresa;explosión
enfado;evidente
desagrado;evidente
negativo;evidente
negativo;decir tonterías
enfado;resplandor
negativo;resplandor
negativo;desolado
tristeza;desolado
desagrado;sangrado
miedo;sangrado
negativo;sangrado
tristeza;sangrado
enfado;defecto
desagrado;defecto
miedo;defecto
negativo;defecto
tristeza;defecto
anticipacion;bendecir
alegria;bendecir
positivo;bendecir
confianza;bendecir
alegria;bendito
positivo;bendito
anticipacion;bendición
alegria;bendición
positivo;bendición
confianza;bendición
anticipacion;bendiciones
alegria;bendiciones
positivo;bendiciones
sorpresa;bendiciones
confianza;bendiciones
desagrado;plaga
miedo;plaga
negativo;plaga
tristeza;plaga
desagrado;arruinado
negativo;arruinado
tristeza;arruinado
negativo;ciego
negativo;cegado
anticipacion;venda
miedo;venda
sorpresa;venda
negativo;a ciegas
tristeza;a ciegas
negativo;ceguera
tristeza;ceguera
alegria;felicidad
positivo;felicidad
alegria;feliz
positivo;feliz
desagrado;ampolla
negativo;ampolla
sorpresa;bombardeo aéreo
desagrado;hinchado
negativo;hinchado
desagrado;gota
miedo;gota
negativo;gota
enfado;bloqueo
miedo;bloqueo
negativo;bloqueo
tristeza;bloqueo
positivo;incruento
enfado;matanza
desagrado;matanza
miedo;matanza
negativo;matanza
tristeza;matanza
sorpresa;matanza
enfado;sanguinario
desagrado;sanguinario
miedo;sanguinario
negativo;sanguinario
enfado;sangriento
desagrado;sangriento
miedo;sangriento
negativo;sangriento
tristeza;sangriento
anticipacion;florecer
alegria;florecer
positivo;florecer
confianza;florecer
alegria;flor
positivo;flor
negativo;mancha
negativo;soplador
negativo;Reventar
tristeza;azul
miedo;blues
negativo;blues
tristeza;blues
negativo;bluff
desagrado;torpeza
negativo;torpeza
tristeza;torpeza
negativo;difuminar
negativo;borroso
negativo;sonrojo
anticipacion;tablero
negativo;presumir
positivo;presumir
negativo;jactancia
positivo;guardaespaldas
confianza;guardaespaldas
negativo;pantano
enfado;falso
desagrado;falso
negativo;falso
desagrado;hervir
negativo;hervir
negativo;repetitivo
enfado;bullicioso
anticipacion;bullicioso
alegria;bullicioso
negativo;bullicioso
positivo;bullicioso
positivo;negrita
positivo;audacia
positivo;reforzar
enfado;bomba
miedo;bomba
negativo;bomba
tristeza;bomba
sorpresa;bomba
enfado;bombardear
miedo;bombardear
negativo;bombardear
enfado;bombardeo
miedo;bombardeo
negativo;bombardeo
desagrado;bombardeado
negativo;bombardeado
miedo;bombardeo
tristeza;bombardeo
alegria;bonanza
positivo;bonanza
miedo;esclavitud
negativo;esclavitud
tristeza;esclavitud
negativo;cautiverio
positivo;Bonne
anticipacion;prima
alegria;prima
positivo;prima
sorpresa;prima
negativo;abucheo
negativo;bobo
positivo;libresco
positivo;librería
negativo;ratón de biblioteca
positivo;ratón de biblioteca
anticipacion;bumerang
confianza;bumerang
positivo;bendición
negativo;bebida alcohólica
negativo;aburrir
negativo;aburrimiento
tristeza;aburrimiento
negativo;aburrido
negativo;prestatario
negativo;molestia
enfado;molesto
negativo;molesto
tristeza;molesto
negativo;fondo
tristeza;fondo
miedo;sin fondo
negativo;Unido
anticipacion;abundante
alegria;abundante
positivo;abundante
anticipacion;generosidad
alegria;generosidad
positivo;generosidad
confianza;generosidad
alegria;ramo
positivo;ramo
confianza;ramo
enfado;combate
negativo;combate
desagrado;bovino
negativo;bovino
desagrado;intestinos
enfado;boxeo
desagrado;chico
negativo;chico
negativo;boicotear
negativo;jactarse
positivo;sesos
desagrado;salvado
negativo;brandy
negativo;bravata
positivo;valentía
enfado;pelearse
desagrado;pelearse
miedo;pelearse
negativo;pelearse
enfado;descarado
negativo;descarado
negativo;incumplimiento
sorpresa;descanso
negativo;Descompostura
positivo;desayuno
negativo;vertiginoso
negativo;ruptura
tristeza;ruptura
negativo;soborno
desagrado;soborno
negativo;soborno
anticipacion;nupcial
alegria;nupcial
positivo;nupcial
confianza;nupcial
anticipacion;novia
alegria;novia
positivo;novia
confianza;novia
anticipacion;novio
alegria;novio
positivo;novio
confianza;novio
alegria;dama de honor
positivo;dama de honor
confianza;dama de honor
miedo;brigada
negativo;brigada
alegria;aclarar
positivo;aclarar
sorpresa;aclarar
confianza;aclarar
positivo;brillo
