Sentimientos;word
confianza;adviento
anticipacion;aventuras
positivo;aventuras
positivo;aventurero
ira;adversario
negativo;adversario
ira;adverso
desagrado;adverso
miedo;adverso
negativo;adverso
tristeza;adverso
ira;adversidad
miedo;adversidad
negativo;adversidad
tristeza;adversidad
confianza;Consejo
positivo;aconsejable
confianza;aconsejable
positivo;asesorar
confianza;asesorar
confianza;aconsejado
positivo;asesor
confianza;asesor
ira;Abogacía
anticipacion;Abogacía
alegría;Abogacía
positivo;Abogacía
confianza;Abogacía
confianza;abogado
positivo;estético
alegría;estética
positivo;estética
positivo;afable
alegría;afecto
positivo;afecto
confianza;afecto
positivo;asociado
positivo;afirmar
confianza;afirmar
positivo;afirmación
positivo;afirmativo
positivo;afirmativamente
confianza;afirmativamente
miedo;afligir
negativo;afligir
tristeza;afligir
negativo;afligido
desagrado;aflicción
miedo;aflicción
negativo;aflicción
tristeza;aflicción
alegría;afluencia
positivo;afluencia
positivo;afluente
positivo;permitirse
ira;afrenta
desagrado;afrenta
miedo;afrenta
negativo;afrenta
tristeza;afrenta
sorpresa;afrenta
miedo;temeroso
negativo;temeroso
ira;secuelas
desagrado;secuelas
miedo;secuelas
negativo;secuelas
tristeza;secuelas
negativo;regusto
miedo;aga
positivo;aga
confianza;aga
ira;agravado
negativo;agravado
ira;agravante
negativo;agravante
tristeza;agravante
ira;agravación
desagrado;agravación
negativo;agravación
ira;agresión
miedo;agresión
negativo;agresión
ira;agresivo
miedo;agresivo
negativo;agresivo
ira;agresor
miedo;agresor
negativo;agresor
desagrado;espantado
miedo;espantado
negativo;espantado
sorpresa;espantado
positivo;ágil
positivo;agilidad
ira;agitado
negativo;agitado
ira;agitación
negativo;agitación
miedo;agonizante
negativo;agonizante
ira;agonía
miedo;agonía
negativo;agonía
tristeza;agonía
positivo;de acuerdo
positivo;agradable
confianza;agradable
positivo;convenido
confianza;convenido
positivo;de acuerdo
confianza;de acuerdo
positivo;acuerdo
confianza;acuerdo
positivo;agricultura
negativo;encallado
positivo;adelante
positivo;ayuda
positivo;ayudando
negativo;afligir
tristeza;afligir
miedo;enfermo
negativo;enfermo
tristeza;enfermo
negativo;sin objetivo
anticipacion;aeropuerto
desagrado;aires
negativo;aires
confianza;parecido
positivo;alabastro
miedo;alarma
negativo;alarma
sorpresa;alarma
miedo;alarmante
negativo;alarmante
sorpresa;alarmante
confianza;alba
ira;alcoholismo
desagrado;alcoholismo
miedo;alcoholismo
negativo;alcoholismo
tristeza;alcoholismo
anticipacion;vigilancia
miedo;vigilancia
positivo;vigilancia
sorpresa;vigilancia
anticipacion;alertas
miedo;alertas
sorpresa;alertas
desagrado;extraterrestre
miedo;extraterrestre
negativo;extraterrestre
ira;enajenar
desagrado;enajenar
negativo;enajenar
negativo;enajenado
tristeza;enajenado
ira;alienación
desagrado;alienación
miedo;alienación
negativo;alienación
tristeza;alienación
positivo;alimentación
negativo;pensión alimenticia
anticipacion;viva
alegría;viva
positivo;viva
confianza;viva
positivo;aliviar
ira;alegación
negativo;alegación
negativo;alegar
positivo;lealtad
confianza;lealtad
positivo;alegro
positivo;aliviar
positivo;alivio
confianza;Alianza
positivo;aliado
confianza;aliado
positivo;admisible
anticipacion;seducir
alegría;seducir
positivo;seducir
sorpresa;seducir
positivo;seductor
positivo;aliado
confianza;aliado
positivo;todopoderoso
anticipacion;aloha
alegría;aloha
positivo;aloha
negativo;a distancia
ira;altercado
negativo;altercado
sorpresa;asombro
alegría;Asombrosamente
positivo;Asombrosamente
sorpresa;Asombrosamente
positivo;embajador
confianza;embajador
negativo;ambiguo
anticipacion;ambición
alegría;ambición
positivo;ambición
confianza;ambición
miedo;ambulancia
confianza;ambulancia
ira;emboscada
miedo;emboscada
negativo;emboscada
sorpresa;emboscada
positivo;mejorar
alegría;Amén
positivo;Amén
confianza;Amén
positivo;dócil
positivo;enmendar
positivo;compensación
positivo;amenidad
positivo;amable
alegría;amistoso
positivo;amistoso
desagrado;amoníaco
negativo;amnesia
alegría;amnistía
positivo;amnistía
confianza;amortización
anticipacion;aventura amorosa
alegría;aventura amorosa
positivo;aventura amorosa
confianza;aventura amorosa
desagrado;anfetaminas
negativo;anfetaminas
alegría;entretener
positivo;entretener
alegría;divertido
positivo;divertido
alegría;diversión
positivo;diversión
alegría;divertido
positivo;divertido
desagrado;anaconda
miedo;anaconda
negativo;anaconda
negativo;anal
anticipacion;analista
positivo;analista
confianza;analista
ira;anarquismo
miedo;anarquismo
negativo;anarquismo
ira;anarquista
miedo;anarquista
negativo;anarquista
ira;anarquía
miedo;anarquía
negativo;anarquía
ira;anatema
desagrado;anatema
miedo;anatema
negativo;anatema
tristeza;anatema
confianza;ancestral
positivo;ancla
positivo;anclaje
tristeza;anclaje
negativo;antiguo
anticipacion;ángel
alegría;ángel
positivo;ángel
sorpresa;ángel
confianza;ángel
alegría;angelical
positivo;angelical
confianza;angelical
ira;enfado
negativo;enfado
miedo;angina de pecho
negativo;angina de pecho
anticipacion;pesca con caña
negativo;pesca con caña
ira;enojado
desagrado;enojado
negativo;enojado
ira;angustia
miedo;angustia
negativo;angustia
tristeza;angustia
positivo;animar
alegría;animado
positivo;animado
ira;animosidad
desagrado;animosidad
miedo;animosidad
negativo;animosidad
tristeza;animosidad
ira;ánimo
negativo;ánimo
ira;aniquilar
miedo;aniquilar
negativo;aniquilar
ira;aniquilado
miedo;aniquilado
negativo;aniquilado
tristeza;aniquilado
ira;aniquilación
miedo;aniquilación
negativo;aniquilación
tristeza;aniquilación
anticipacion;anuncio
ira;molestar
desagrado;molestar
negativo;molestar
ira;molestia
desagrado;molestia
negativo;molestia
ira;molesto
negativo;molesto
negativo;anular
negativo;anulación
tristeza;anulación
miedo;anomalía
negativo;anomalía
sorpresa;anomalía
negativo;anónimo
confianza;responsable
ira;antagonismo
negativo;antagonismo
ira;antagonista
negativo;antagonista
ira;antagonista
desagrado;antagonista
negativo;antagonista
desagrado;ántrax
miedo;ántrax
negativo;ántrax
tristeza;ántrax
positivo;antibióticos
ira;antecristo
desagrado;antecristo
miedo;antecristo
negativo;antecristo
anticipacion;anticipación
anticipacion;anticipado
anticipacion;antídoto
positivo;antídoto
confianza;antídoto
positivo;antifúngico
confianza;antifúngico
ira;antipatía
desagrado;antipatía
negativo;antipatía
negativo;anticuado
positivo;antiguo
positivo;antiséptico
confianza;antiséptico
ira;antisocial
desagrado;antisocial
miedo;antisocial
negativo;antisocial
tristeza;antisocial
ira;antítesis
negativo;antítesis
ira;ansiedad
anticipacion;ansiedad
miedo;ansiedad
negativo;ansiedad
tristeza;ansiedad
anticipacion;ansioso
miedo;ansioso
negativo;ansioso
miedo;apache
negativo;apache
negativo;apático
tristeza;apático
negativo;apatía
tristeza;apatía
desagrado;áfido
negativo;áfido
positivo;aplomo
positivo;apologético
confianza;apologético
positivo;pedir disculpas
tristeza;pedir disculpas
confianza;pedir disculpas
positivo;disculpa
positivo;apóstol
confianza;apóstol
confianza;apostólico
desagrado;pésimo
miedo;pésimo
negativo;pésimo
miedo;aparición
sorpresa;aparición
anticipacion;apelación
miedo;apendicitis
negativo;apendicitis
tristeza;apendicitis
alegría;aplausos
positivo;aplausos
sorpresa;aplausos
confianza;aplausos
anticipacion;solicitante
alegría;apreciación
positivo;apreciación
confianza;apreciación
miedo;aprehender
miedo;detención
negativo;detención
anticipacion;aprensivo
miedo;aprensivo
negativo;aprensivo
confianza;aprendiz
anticipacion;que se acerca
positivo;aprobación
confianza;aprobación
negativo;apropiación
positivo;aprobación
alegría;aprobar
positivo;aprobar
confianza;aprobar
positivo;aprobatorio
positivo;apto
positivo;aptitud
confianza;árbitro
anticipacion;arbitraje
confianza;árbitro
anticipacion;arqueología
positivo;arqueología
negativo;arcaico
confianza;arquitectura
anticipacion;ardiente
alegría;ardiente
positivo;ardiente
positivo;ardor
negativo;arduo
ira;discutir
negativo;discutir
ira;argumento
negativo;argumento
ira;argumentación
negativo;discutidor
ira;argumentos
negativo;árido
tristeza;árido
positivo;aristocracia
positivo;aristocrático
ira;armamento
miedo;armamento
miedo;armamento
negativo;armamento
ira;armado
miedo;armado
negativo;armado
positivo;armado
miedo;armadura
positivo;armadura
confianza;armadura
miedo;blindado
confianza;arsenal
positivo;aroma
anticipacion;despertar
positivo;despertar
ira;acusación
miedo;acusación
negativo;acusación
tristeza;acusación
positivo;formación
negativo;atrasos
negativo;arrestar
anticipacion;llegada
anticipacion;llegar
negativo;arrogancia
ira;arrogante
desagrado;arrogante
negativo;arrogante
desagrado;arsénico
miedo;arsénico
negativo;arsénico
tristeza;arsénico
ira;incendio provocado
miedo;incendio provocado
negativo;incendio provocado
anticipacion;Arte
alegría;Arte
positivo;Arte
tristeza;Arte
sorpresa;Arte
positivo;articular
positivo;articulación
miedo;artillería
negativo;artillería
positivo;artesano
positivo;artista
positivo;artístico
positivo;ascendencia
positivo;ascenso
negativo;ceniza
desagrado;avergonzado
negativo;avergonzado
tristeza;avergonzado
negativo;despojos mortales
tristeza;despojos mortales
miedo;áspid
anticipacion;aspiración
alegría;aspiración
positivo;aspiración
sorpresa;aspiración
confianza;aspiración
anticipacion;aspirar
alegría;aspirar
positivo;aspirar
anticipacion;ambicioso
alegría;ambicioso
positivo;ambicioso
confianza;ambicioso
negativo;culo
ira;atacar
miedo;atacar
negativo;atacar
sorpresa;atacar
ira;agresor
miedo;agresor
negativo;agresor
tristeza;agresor
ira;asesino
miedo;asesino
negativo;asesino
tristeza;asesino
ira;asesinar
miedo;asesinar
negativo;asesinar
ira;asesinato
miedo;asesinato
negativo;asesinato
tristeza;asesinato
ira;asalto
miedo;asalto
negativo;asalto
positivo;montaje
confianza;montaje
positivo;asentir
positivo;afirmando
confianza;afirmando
sorpresa;evaluación
confianza;evaluación
confianza;asesor
positivo;bienes
ira;Estúpido
desagrado;Estúpido
negativo;Estúpido
confianza;cesionario
positivo;ayudar
confianza;ayudar
positivo;asistencia
positivo;asociar
confianza;asociar
confianza;asociación
positivo;calmar
positivo;garantía
confianza;garantía
confianza;asegurar
positivo;seguro
confianza;seguro
confianza;ciertamente
positivo;asombrosamente
sorpresa;asombrosamente
alegría;asombro
positivo;asombro
sorpresa;asombro
miedo;por mal camino
negativo;por mal camino
negativo;astringente
anticipacion;astrólogo
positivo;astrólogo
positivo;astronauta
anticipacion;astrónomo
positivo;astrónomo
positivo;astuto
miedo;asilo
negativo;asilo
desagrado;asimetría
negativo;ateísmo
miedo;aterosclerosis
negativo;aterosclerosis
tristeza;aterosclerosis
positivo;atleta
positivo;atlético
positivo;átomo
anticipacion;expiar
alegría;expiar
positivo;expiar
confianza;expiar
positivo;expiación
ira;atroz
desagrado;atroz
negativo;atroz
ira;atrocidad
desagrado;atrocidad
miedo;atrocidad
negativo;atrocidad
tristeza;atrocidad
desagrado;atrofia
miedo;atrofia
negativo;atrofia
tristeza;atrofia
positivo;adjunto archivo
ira;ataque
miedo;ataque
negativo;ataque
ira;agresor
desagrado;agresor
miedo;agresor
negativo;agresor
tristeza;agresor
sorpresa;agresor
anticipacion;alcanzable
positivo;alcanzable
positivo;logro
anticipacion;intento
anticipacion;asistencia
positivo;asistente
confianza;asistente
positivo;atención
positivo;atento
confianza;atento
negativo;atenuado
negativo;atenuación
tristeza;atenuación
positivo;dar fe
confianza;dar fe
confianza;atestación
ira;abogado
miedo;abogado
positivo;abogado
confianza;abogado
positivo;atracción
positivo;atractivo
anticipacion;subasta
negativo;audacia
anticipacion;audiencia
miedo;auditor
confianza;auditor
positivo;aumentar
positivo;agosto
positivo;tía
confianza;tía
positivo;aura
anticipacion;propicio
alegría;propicio
positivo;propicio
miedo;austero
negativo;austero
tristeza;austero
negativo;austeridad
alegría;auténtico
positivo;auténtico
confianza;auténtico
confianza;autenticar
confianza;autenticación
positivo;autenticidad
confianza;autenticidad
positivo;autor
confianza;autor
positivo;autoritario
confianza;autoritario
positivo;autoridad
confianza;autoridad
positivo;autorización
confianza;autorización
confianza;autorizar
positivo;autorizado
negativo;autocrático
confianza;automático
desagrado;autopsia
miedo;autopsia
negativo;autopsia
tristeza;autopsia
miedo;avalancha
negativo;avalancha
tristeza;avalancha
sorpresa;avalancha
ira;avaricia
desagrado;avaricia
negativo;avaricia
positivo;avatar
ira;vengador
negativo;vengador
ira;contrario
desagrado;contrario
miedo;contrario
negativo;contrario
ira;aversión
desagrado;aversión
miedo;aversión
negativo;aversión
miedo;evitar
negativo;evitar
miedo;evitación
negativo;evitación
miedo;evitando
anticipacion;esperar
anticipacion;premio
alegría;premio
positivo;premio
sorpresa;premio
confianza;premio
ira;horrible
desagrado;horrible
miedo;horrible
negativo;horrible
tristeza;horrible
desagrado;torpeza
negativo;torpeza
negativo;torcido
confianza;axioma
confianza;axiomático
positivo;sí
positivo;sí
negativo;balbucear
negativo;balbuceo
desagrado;babuino
negativo;babuino
alegría;bebé
positivo;bebé
confianza;niñera
positivo;bachillerato
ira;columna vertebral
positivo;columna vertebral
confianza;columna vertebral
confianza;partidario
negativo;hacia atrás
desagrado;hacia atrás
negativo;hacia atrás
negativo;remanso
tristeza;remanso
desagrado;bacterias
miedo;bacterias
negativo;bacterias
tristeza;bacterias
desagrado;bacteria
miedo;bacteria
negativo;bacteria
ira;malo
desagrado;malo
miedo;malo
negativo;malo
tristeza;malo
confianza;Insignia
ira;tejón
negativo;tejón
negativo;mal
tristeza;mal
ira;maldad
desagrado;maldad
miedo;maldad
negativo;maldad
miedo;alguacil
negativo;alguacil
confianza;alguacil
miedo;cebo
negativo;cebo
confianza;cebo
positivo;equilibrar
positivo;equilibrado
miedo;bala
negativo;bala
negativo;obstáculo
positivo;balada
positivo;ballet
anticipacion;votación
positivo;votación
confianza;votación
anticipacion;bálsamo
alegría;bálsamo
negativo;bálsamo
positivo;bálsamo
positivo;bálsamo
negativo;prohibición
negativo;bandido
ira;perdición
desagrado;perdición
miedo;perdición
negativo;perdición
ira;explosión
desagrado;explosión
miedo;explosión
negativo;explosión
tristeza;explosión
sorpresa;explosión
ira;petardo
anticipacion;petardo
miedo;petardo
negativo;petardo
sorpresa;petardo
ira;desterrar
desagrado;desterrar
miedo;desterrar
negativo;desterrar
tristeza;desterrar
ira;alejado
miedo;alejado
negativo;alejado
tristeza;alejado
ira;destierro
desagrado;destierro
negativo;destierro
tristeza;destierro
confianza;banco
confianza;banquero
miedo;arruinado
negativo;arruinado
tristeza;arruinado
ira;bancarrota
desagrado;bancarrota
miedo;bancarrota
negativo;bancarrota
tristeza;bancarrota
anticipacion;banquete
alegría;banquete
positivo;banquete
ira;banshee
desagrado;banshee
miedo;banshee
negativo;banshee
tristeza;banshee
positivo;bautismo
alegría;bautismal
positivo;bautismal
ira;lengüeta
negativo;lengüeta
miedo;bárbaro
negativo;bárbaro
ira;bárbaro
desagrado;bárbaro
miedo;bárbaro
negativo;bárbaro
negativo;barbarie
positivo;bardo
desagrado;barf
positivo;negociar
confianza;negociar
ira;ladrar
negativo;ladrar
negativo;prohibido
negativo;estéril
tristeza;estéril
miedo;barricada
negativo;barricada
ira;barrera
negativo;barrera
desagrado;carretilla
confianza;barman
confianza;permuta
confianza;base
negativo;infundado
anticipacion;baloncesto
alegría;baloncesto
positivo;baloncesto
desagrado;Bastardo
negativo;Bastardo
tristeza;Bastardo
ira;bastión
positivo;bastión
positivo;bañera
ira;batallón
ira;masa
miedo;masa
negativo;masa
miedo;abollado
negativo;abollado
tristeza;abollado
ira;batería
negativo;batería
ira;batalla
negativo;batalla
ira;luchado
miedo;luchado
negativo;luchado
tristeza;luchado
miedo;campo de batalla
negativo;campo de batalla
negativo;obsceno
ira;bayoneta
miedo;bayoneta
negativo;bayoneta
alegría;playa
alegría;haz
positivo;haz
anticipacion;radiante
alegría;radiante
positivo;radiante
ira;oso
miedo;oso
negativo;portador
ira;osuno
miedo;osuno
ira;bestia
miedo;bestia
negativo;bestia
desagrado;bestial
miedo;bestial
negativo;bestial
ira;golpeando
miedo;golpeando
negativo;golpeando
tristeza;golpeando
alegría;embellecimiento
positivo;embellecimiento
confianza;embellecimiento
alegría;hermoso
positivo;hermoso
alegría;embellecer
positivo;embellecer
alegría;belleza
positivo;belleza
positivo;base
confianza;base
ira;abeja
miedo;abeja
alegría;cerveza
positivo;cerveza
negativo;acontecer
positivo;propio
alegría;ofrecer amistad
positivo;ofrecer amistad
confianza;ofrecer amistad
negativo;mendigar
tristeza;mendigar
negativo;mendigo
tristeza;mendigo
negativo;mendicidad
anticipacion;empezado
miedo;gigante
negativo;gigante
negativo;agradecido
negativo;tardío
confianza;creído
confianza;creyente
positivo;creyendo
confianza;creyendo
ira;empequeñecer
desagrado;empequeñecer
miedo;empequeñecer
negativo;empequeñecer
tristeza;empequeñecer
ira;beligerante
miedo;beligerante
negativo;beligerante
ira;fuelle
ira;cinturón
miedo;cinturón
negativo;cinturón
negativo;juerga
positivo;benefactor
confianza;benefactor
positivo;beneficioso
positivo;beneficio
alegría;benevolencia
positivo;benevolencia
confianza;benevolencia
alegría;benigno
positivo;benigno
confianza;legado
negativo;afligido
tristeza;afligido
negativo;duelo
tristeza;duelo
negativo;privado
ira;enloquecido
negativo;enloquecido
positivo;atracar
desagrado;bestial
miedo;bestial
negativo;bestial
ira;traicionar
desagrado;traicionar
negativo;traicionar
tristeza;traicionar
sorpresa;traicionar
ira;traición
desagrado;traición
negativo;traición
tristeza;traición
anticipacion;prometido
alegría;prometido
positivo;prometido
confianza;prometido
positivo;mejoramiento
positivo;bebida
anticipacion;tener cuidado
miedo;tener cuidado
negativo;tener cuidado
miedo;desconcertado
negativo;desconcertado
sorpresa;desconcertado
miedo;desconcierto
sorpresa;desconcierto
ira;parcialidad
negativo;parcialidad
negativo;parcial
positivo;bíblico
ira;dimes y diretes
desagrado;dimes y diretes
negativo;dimes y diretes
anticipacion;bienal
miedo;féretro
negativo;féretro
tristeza;féretro
ira;fanático
desagrado;fanático
miedo;fanático
negativo;fanático
ira;fanático
desagrado;fanático
miedo;fanático
negativo;fanático
tristeza;fanático
ira;bilis
desagrado;bilis
negativo;bilis
positivo;bilingüe
miedo;biopsia
negativo;biopsia
ira;abedul
desagrado;abedul
miedo;abedul
negativo;abedul
anticipacion;nacimiento
miedo;nacimiento
alegría;nacimiento
positivo;nacimiento
confianza;nacimiento
anticipacion;cumpleaños
alegría;cumpleaños
positivo;cumpleaños
sorpresa;cumpleaños
ira;lugar de nacimiento
negativo;lugar de nacimiento
ira;perra
desagrado;perra
miedo;perra
negativo;perra
tristeza;perra
negativo;mordedura
ira;amargamente
desagrado;amargamente
negativo;amargamente
tristeza;amargamente
ira;amargura
desagrado;amargura
negativo;amargura
tristeza;amargura
negativo;extraño
sorpresa;extraño
negativo;negro
tristeza;negro
negativo;veintiuna
ira;chantaje
miedo;chantaje
negativo;chantaje
miedo;negrura
negativo;negrura
tristeza;negrura
ira;culpa
desagrado;culpa
negativo;culpa
positivo;inocente
negativo;amable
confianza;manta
ira;blasfemo
desagrado;blasfemo
negativo;blasfemo
ira;blasfemia
negativo;blasfemia
ira;explosión
miedo;explosión
negativo;explosión
sorpresa;explosión
ira;evidente
desagrado;evidente
negativo;evidente
negativo;decir tonterías
ira;resplandor
negativo;resplandor
negativo;desolado
tristeza;desolado
desagrado;sangrado
miedo;sangrado
negativo;sangrado
tristeza;sangrado
ira;defecto
desagrado;defecto
miedo;defecto
negativo;defecto
tristeza;defecto
anticipacion;bendecir
alegría;bendecir
positivo;bendecir
confianza;bendecir
alegría;bendito
positivo;bendito
anticipacion;bendición
alegría;bendición
positivo;bendición
confianza;bendición
anticipacion;bendiciones
alegría;bendiciones
positivo;bendiciones
sorpresa;bendiciones
confianza;bendiciones
desagrado;plaga
miedo;plaga
negativo;plaga
tristeza;plaga
desagrado;arruinado
negativo;arruinado
tristeza;arruinado
negativo;ciego
negativo;cegado
anticipacion;venda
miedo;venda
sorpresa;venda
negativo;a ciegas
tristeza;a ciegas
negativo;ceguera
tristeza;ceguera
alegría;felicidad
positivo;felicidad
alegría;feliz
positivo;feliz
desagrado;ampolla
negativo;ampolla
sorpresa;bombardeo aéreo
desagrado;hinchado
negativo;hinchado
desagrado;gota
miedo;gota
negativo;gota
ira;bloqueo
miedo;bloqueo
negativo;bloqueo
tristeza;bloqueo
positivo;incruento
ira;matanza
desagrado;matanza
miedo;matanza
negativo;matanza
tristeza;matanza
sorpresa;matanza
ira;sanguinario
desagrado;sanguinario
miedo;sanguinario
negativo;sanguinario
ira;sangriento
desagrado;sangriento
miedo;sangriento
negativo;sangriento
tristeza;sangriento
anticipacion;florecer
alegría;florecer
positivo;florecer
confianza;florecer
alegría;flor
positivo;flor
negativo;mancha
negativo;soplador
negativo;Reventar
tristeza;azul
miedo;blues
negativo;blues
tristeza;blues
negativo;bluff
desagrado;torpeza
negativo;torpeza
tristeza;torpeza
negativo;difuminar
negativo;borroso
negativo;sonrojo
anticipacion;tablero
negativo;presumir
positivo;presumir
negativo;jactancia
positivo;guardaespaldas
confianza;guardaespaldas
negativo;pantano
ira;falso
desagrado;falso
negativo;falso
desagrado;hervir
negativo;hervir
negativo;repetitivo
ira;bullicioso
anticipacion;bullicioso
alegría;bullicioso
negativo;bullicioso
positivo;bullicioso
positivo;negrita
positivo;audacia
positivo;reforzar
ira;bomba
miedo;bomba
negativo;bomba
tristeza;bomba
sorpresa;bomba
ira;bombardear
miedo;bombardear
negativo;bombardear
ira;bombardeo
miedo;bombardeo
negativo;bombardeo
desagrado;bombardeado
negativo;bombardeado
miedo;bombardeo
tristeza;bombardeo
alegría;bonanza
positivo;bonanza
miedo;esclavitud
negativo;esclavitud
tristeza;esclavitud
negativo;cautiverio
positivo;Bonne
anticipacion;prima
alegría;prima
positivo;prima
sorpresa;prima
negativo;abucheo
negativo;bobo
positivo;libresco
positivo;librería
negativo;ratón de biblioteca
positivo;ratón de biblioteca
anticipacion;bumerang
confianza;bumerang
positivo;bendición
negativo;bebida alcohólica
negativo;aburrir
negativo;aburrimiento
tristeza;aburrimiento
negativo;aburrido
negativo;prestatario
negativo;molestia
ira;molesto
negativo;molesto
tristeza;molesto
negativo;fondo
tristeza;fondo
miedo;sin fondo
negativo;Unido
anticipacion;abundante
alegría;abundante
positivo;abundante
anticipacion;generosidad
alegría;generosidad
positivo;generosidad
confianza;generosidad
alegría;ramo
positivo;ramo
confianza;ramo
ira;combate
negativo;combate
desagrado;bovino
negativo;bovino
desagrado;intestinos
ira;boxeo
desagrado;chico
negativo;chico
negativo;boicotear
negativo;jactarse
positivo;sesos
desagrado;salvado
negativo;brandy
negativo;bravata
positivo;valentía
ira;pelearse
desagrado;pelearse
miedo;pelearse
negativo;pelearse
ira;descarado
negativo;descarado
negativo;incumplimiento
sorpresa;descanso
negativo;Descompostura
positivo;desayuno
negativo;vertiginoso
negativo;ruptura
tristeza;ruptura
negativo;soborno
desagrado;soborno
negativo;soborno
anticipacion;nupcial
alegría;nupcial
positivo;nupcial
confianza;nupcial
anticipacion;novia
alegría;novia
positivo;novia
confianza;novia
anticipacion;novio
alegría;novio
positivo;novio
confianza;novio
alegría;dama de honor
positivo;dama de honor
confianza;dama de honor
miedo;brigada
negativo;brigada
alegría;aclarar
positivo;aclarar
sorpresa;aclarar
confianza;aclarar
positivo;brillo
anticipacion;brillante
alegría;brillante
positivo;brillante
confianza;brillante
ira;azufre
miedo;azufre
negativo;azufre
negativo;cerda
anticipacion;costado
negativo;costado
positivo;brocado
ira;asar
negativo;asar
miedo;rompió
negativo;rompió
tristeza;rompió
ira;roto
miedo;roto
negativo;roto
tristeza;roto
